Pop,lat,lon
1.2,60.66914762890649,5.024735070764937
0.1,60.636462883601055,5.433628934769109
0.0,60.250421674114726,5.442163030409834
0.2,59.784530301058616,5.457948070699709
2.7,60.59641405384839,4.990985788133971
6.8,60.31972389686442,5.246284974251039
3.7,60.26511770535339,5.305788573715608
0.0,60.63435460202607,5.303830962910556
20.5,60.33338060724597,5.384251104820635
11.9,60.21159364719343,5.532490948011412
14.5,60.511106694686994,5.241103500746489
0.2,60.256719680824986,5.097278996460749
2.6,60.35334413591109,4.982707326992258
0.9,60.25252096096517,4.980654419845485
2.2,60.67969365484626,6.741412845703445
46.8,60.33968440187464,5.363185827198396
3.8,60.46795739559981,4.961246115476278
0.1,60.53321560598549,4.88193576395147
2.0,60.174879741301815,5.403229498819102
42.7,60.386976923064026,5.301352464699
3.5,60.42272553709088,5.193139056696445
1.6,60.39854109634455,5.181352969680043
0.0,5.066270933919038,61.18844873462719
0.1,60.42903559184461,5.193782267848522
19.5,60.28926637251695,5.26022152361437
1.8,59.813774995862175,5.484046585675945
0.9,60.68813137556675,5.261042098958058
6.5,60.66492956835278,6.533249463270374
1.1,60.455332258884944,5.235355368724803
18.6,60.69551503777743,4.916391889079447
2.5,60.32497623310595,5.263891390471136
11.5,60.27246661670773,5.08799382332551
2.3,60.47006175777018,5.46561018124239
0.6,60.612220654675895,6.50770853189244
0.4,60.670202175273005,5.379461226666947
5.0,60.074254869978375,5.208956114739885
0.1,59.94339922950659,5.37448663680936
0.8,60.66282061301205,6.434571656135995
8.6,60.31447186634912,5.22402834298457
1.7,60.297667422047645,5.130817088298087
0.3,60.51637022602797,5.299273171612283
23.7,60.55848962354875,4.876576542803917
4.4,60.44586457162285,5.136397320371003
26.0,60.4721661693054,5.274434837084259
"0,6",60.78205509748418,5.007841740689737
5.7,60.14551931011337,5.3738653788646
2.2,60.41010675643268,5.235371524037303
9.8,60.194808302653406,5.609617829710057
2.0,60.4300873107189,5.350926720144396
0.3,59.998859126296416,5.115034720352464
0.4,60.26301812610471,5.347414671966499
5.9,60.65438529107278,6.421002215129819
37.4,60.35544581722228,5.12419439306492
6.3,60.1612469316255,5.683296166033179
0.7,60.61643622116649,5.429914958323387
3.5,60.69867965210621,4.90419604672868
2.6,59.66242951519906,6.384334636461382
9.4,60.42693219102661,7.255136741541787
0.1,5.321904256801476,61.12906567008348
0.8,59.80019594626567,5.170821685022303
11.5,60.34703938604865,5.376375805988287
0.7,60.565862557769215,5.235853017142759
6.4,59.820042925570526,5.257295457987794
11.0,60.05854228180593,5.633410645762491
54.8,60.536374467709216,5.253062588680728
17.8,59.87438289515022,5.773437062464247
22.0,59.83780438021035,5.709444931222767
3.0,60.2000533889072,5.594711349802487
0.0,60.59957515006818,4.850895517743571
0.1,60.36070023498627,5.073481934624572
0.0,60.54585172208846,5.155867244780954
4.7,60.455332258884944,5.086018237422595
0.6,60.0281722891193,6.537218096597273
3.8,60.42272553709088,5.468303137832585
1.8,60.754606430327925,5.18193109362978
23.1,59.77826478913067,5.501818946112353
1.0,60.25252096096517,5.792557644607977
1.7,60.37541423554737,6.152835478940528
0.3,60.1706848125076,4.9990304005212
